Date,Open,High,Low,Close,Volume,Adj Close,
7/30/2008,128.12,129,127.09,128.86,5826100,115.86,
7/29/2008,126.54,128.17,126.25,127.66,5979400,114.78,
7/28/2008,127.69,128.44,126.13,126.25,6096800,113.51,
7/25/2008,129,129.9,128,128.53,7565500,115.56,
7/24/2008,129.06,130.93,128.8,130,8946300,116.89,
7/23/2008,129.78,130.33,128.29,129.52,10230300,116.45,
7/22/2008,127.5,130,127.26,130,11428600,116.89,
7/21/2008,129.83,129.9,127.64,128.66,7779600,115.68,
7/18/2008,125.81,130,125.42,129.89,18317800,116.79,
7/17/2008,126.39,126.96,124,126.52,12298200,113.76,
7/16/2008,122.81,126.89,122.25,125.94,9898800,113.24,
7/15/2008,121,124.5,119.9,123.2,10710500,110.77,
7/14/2008,123.51,124.25,121.24,121.54,8317400,109.28,
7/11/2008,121.8,123.74,120.57,122.12,8841400,109.8,
7/10/2008,120.66,123.54,120.66,123.18,10053600,110.75,
7/9/2008,124.21,124.5,120.4,120.4,9506700,108.25,
7/8/2008,120.55,123.99,120.55,123.88,9813300,111.38,
7/7/2008,119.62,122.64,119.62,121.5,9131100,109.24,
7/3/2008,119.95,120.78,117.89,119.54,6115200,107.48,
7/2/2008,118.41,120.55,118.12,119.1,8093200,107.09,
7/1/2008,117.5,119.36,116.6,119.27,10069400,107.24,
6/30/2008,120.03,120.22,118.15,118.53,8439000,106.57,
6/27/2008,121.02,122.05,118.26,120.05,11660400,107.94,
6/26/2008,123.43,123.82,120.76,121.13,9710600,108.91,
6/25/2008,123.67,125.83,123.2,124.58,7131500,112.01,
6/24/2008,123.08,124.25,121.9,123.46,7552900,111.01,
6/23/2008,123,124.5,122.4,123.46,5852300,111.01,
6/20/2008,124.81,125.02,122.5,122.74,9624900,110.36,
6/19/2008,123.67,125.62,122.36,125.02,7570200,112.41,
6/18/2008,124.55,125.43,123.7,124.16,6614700,111.64,
6/17/2008,127.1,127.1,124.62,125.1,5277900,112.48,
6/16/2008,125.46,127.14,124.65,126.71,6280200,113.93,
6/13/2008,124.42,126.57,124.15,126.15,6379600,113.42,
6/12/2008,123.85,125.09,123.13,123.85,6748600,111.36,
6/11/2008,125.9,125.9,122.86,123.25,7207200,110.82,
6/10/2008,124.88,126.72,124.63,125.94,5384200,113.24,
6/9/2008,125.38,126.18,124.06,125.86,5584000,113.16,
6/6/2008,127.77,128.14,124.74,124.94,7866700,112.34,
6/5/2008,127.41,129.04,127.2,128.47,6153300,115.51,
6/4/2008,127.87,128.5,126.45,127.55,6432300,114.68,
6/3/2008,127.47,129,127.46,127.84,7238200,114.94,
6/2/2008,128.49,129.37,126.7,127.36,7599300,114.51,
5/30/2008,129.22,129.99,128.8,129.43,8652900,116.37,
5/29/2008,128.76,129.99,128.66,129.71,7561500,116.63,
5/28/2008,127.5,129.54,126.99,129.54,9875600,116.47,
5/27/2008,124.01,127.38,124,127.32,6989200,114.48,
5/23/2008,124.35,124.91,123.77,124.2,4701500,111.67,
5/22/2008,123.55,125.35,123.55,124.7,5031300,112.12,
5/21/2008,125.05,126.4,123.02,123.62,8333900,111.15,
5/20/2008,126.05,126.05,124.45,125.18,7017700,112.55,
5/19/2008,127.68,128.21,126.05,126.49,6385200,113.73,
5/16/2008,128.46,128.48,126.8,127.82,6372100,114.93,
5/15/2008,127.33,128.68,126.9,128.46,7227900,115.5,
5/14/2008,126.52,128.83,126.2,127.52,8888300,114.66,
5/13/2008,125.12,126.7,125.03,126.58,9693400,113.81,
5/12/2008,123.82,125.99,123.56,125.24,8666800,112.61,
5/9/2008,124.37,124.65,123.63,124.06,5502900,111.55,
5/8/2008,124.2,125.17,123.7,124.92,9794000,112.32,
5/7/2008,122.78,124.98,122.41,124.14,11406800,111.62,
5/6/2008,121.5,123.34,120.78,122.82,5910400,109.98,
5/5/2008,122.29,123.25,121.74,122.03,6359300,109.27,
5/2/2008,123.3,124,121.76,123.18,6916600,110.3,
5/1/2008,121.06,124.43,121.06,123.61,8230200,110.69,
4/30/2008,123.34,123.5,120.5,120.7,8128300,108.08,
4/29/2008,122.04,123.2,122.04,122.85,7226000,110.01,
4/28/2008,122.61,123.05,121.64,121.69,5605200,108.97,
4/25/2008,124.5,124.5,122.06,123.08,6313400,110.21,
4/24/2008,123.38,124.9,122.73,124.19,5996700,111.21,
4/23/2008,123.69,124.78,122.64,123.6,7593300,110.68,
4/22/2008,123.87,124.35,123.01,123.67,5417500,110.74,
4/21/2008,123.62,124.51,122.05,124.35,6952800,111.35,
4/18/2008,123.92,125,123.15,124.4,12490800,111.4,
4/17/2008,122.39,123.72,120.7,123.08,18999100,110.21,
4/16/2008,118.15,120.47,117.17,120.47,19317700,107.88,
4/15/2008,117.1,117.67,115.54,117.17,8642000,104.92,
4/14/2008,116.2,117.94,115.95,117.28,7745600,105.02,
4/11/2008,117.31,117.8,115.51,116,9556800,103.87,
4/10/2008,116.93,119.22,116.88,118.78,9149300,106.36,
4/9/2008,116.5,117.72,115.72,116.77,6819100,104.56,
4/8/2008,115.72,116.88,115.28,116.27,7283300,104.12,
4/7/2008,116.37,117.37,115.82,116.31,6181200,104.15,
4/4/2008,116.05,116.58,114.6,115.76,5733200,103.66,
4/3/2008,114.35,116.82,113.86,116.02,7052900,103.89,
4/2/2008,116.84,116.88,113.98,114.81,8007600,102.81,
4/1/2008,115.2,118.37,114.97,116.49,11875400,104.31,
3/31/2008,114.15,115.87,113.34,115.14,9707200,103.1,
3/28/2008,115.86,116.75,114.21,114.57,6600900,102.59,
3/27/2008,116.02,116.2,114.51,115.52,8437200,103.44,
3/26/2008,117.59,117.97,114.96,116.91,9617100,104.69,
3/25/2008,119.1,119.1,117.15,117.97,8443600,105.64,
3/24/2008,118.57,119.79,118.13,119.06,8398000,106.61,
3/20/2008,117.09,118.48,116.65,118.33,11417900,105.96,
3/19/2008,118.29,118.5,116.65,116.94,9314400,104.72,
3/18/2008,116.6,118.43,113.81,118.41,9966500,106.03,
3/17/2008,113,117.04,113,115.55,9280300,103.47,
3/14/2008,116.07,116.52,112.69,115.23,9734600,103.18,
3/13/2008,115.69,116.78,113.64,115.91,9548900,103.79,
3/12/2008,116.44,118,115.11,117.07,9083200,104.83,
3/11/2008,115.8,116.56,114.04,116.49,10480600,104.31,
3/10/2008,113.12,115.99,113.12,114.01,9747300,102.09,
3/7/2008,111.85,114.75,111.8,113.94,8124900,102.03,
3/6/2008,115.06,115.15,112.25,112.52,8018400,100.76,
3/5/2008,116.41,116.41,114.25,115.39,8434200,103.33,
3/4/2008,113.4,115.72,112.75,115.71,8593300,103.61,
3/3/2008,113.86,114.81,113.48,114.23,6335700,102.29,
